fighter,bjj_belt_rank,judo_belt_rank,master_of_sport,olympic_wrestler,olympic_judo,wrestling_background,bjj_background,other_styles_summary,wiki_url
Nazim Sadykhov,,,No,No,No,,,,https://en.wikipedia.org/wiki/Nazim_Sadykhov
Montel Jackson,purple belt,purple belt,No,No,No,"[ 7 ] background [ edit ] jackson started training in wrestling at high school to get away from street life as most of his friends ended up in jail or dead. | [ 8 ] with good results in wrestling, jackson set his goal to be an olympic wrestler; however, he chose to stay back and take care of his sick grandparents and turned down the opportunity to wrestle in college. | jackson  did an invitational wrestling match, team usa vs.","team red schafer mma [ 3 ] pura vida bjj/mma [ 4 ] [ 5 ] rank purple belt in brazilian jiu-jitsu [ 2 ] years active 2017–present mixed martial arts record total 17 wins 15 by knockout 8 by submission 1 by decision 6 losses 2 by decision 2 other information mixed martial arts record from sherdog montel samuel jackson [ 6 ] (born april 24, 1992) is an american professional mixed martial artist . | at the gym, he met gato, a puerto rican, who managed to talk him into competing in a brazilian jiu-jitsu tournament without a real class instructions. | montel jackson updated to 29 july 2025 retrieved from "" https://en.wikipedia.org/w/index.php?title=montel_jackson&oldid=1302024997 "" categories : living people 1992 births bantamweight mixed martial artists mixed martial artists utilizing wrestling mixed martial artists utilizing brazilian jiu-jitsu american male mixed martial artists american male sport wrestlers american practitioners of brazilian jiu-jitsu martial artists from milwaukee mixed martial artists from wisconsin ultimate fighting championship male fighters 21st-century american sportsmen hidden categories: cs1 dutch-language sources (nl) articles with spanish-language sources (es) cs1 errors: generic name articles with short description short description is different from wikidata use mdy dates from october 2024 this page was last edited on 22 july 2025, at 23:43 (utc) .",henry cejudo 12.,https://en.wikipedia.org/wiki/Montel_Jackson
,,,No,No,No,,,"in boxing , the country has produced scores of world-class fighters and several world champions, [ 297 ] such as carlos cruz , his brother leo , juan guzman , and joan guzman . | marines and controlled by the dominican volleyball federation , taekwondo , in which gabriel mercedes won an olympic silver medal in 2008, and judo . | an illustrated history of boxing .",https://en.wikipedia.org/wiki/Dominican_Republic
UFC Fight Night 257,,,No,No,No,,,hernandez fight nights (on espn+) cejudo vs. | rodrigues cejudo vs. | rodrigues cejudo vs.,https://en.wikipedia.org/wiki/UFC_Fight_Night_257
,,,No,No,No,,,,https://en.wikipedia.org/wiki/Italy
Philip Rowe,black belt,black belt,No,No,No,,"team fusion xcel performance rank black belt in brazilian jiu-jitsu under julien williams [ 2 ] years active 2014–present mixed martial arts record total 16 wins 11 by knockout 7 by submission 4 losses 5 by knockout 1 by decision 4 other information mixed martial arts record from sherdog philip ambrose rowe [ 3 ] [ 4 ] (born july 18, 1990) is an american mixed martial artist who competes in the welterweight division of the ultimate fighting championship . | i'm honored to have a black belt under him. | ""gordon ryan announces return to bjj competition"" .","[ 28 ] rowe competed against craig jones in the main event of karate combat 's pit submission series 2 on february 23, 2024. | boxing.nv.gov .",https://en.wikipedia.org/wiki/Philip_Rowe
Tim Elliott,blue belt,blue belt,No,No,No,"[ 3 ] team grindhouse / glory mma and fitness (2011–2017, 2020–2022) [ 4 ] [ 3 ] [ 1 ] xtreme couture (2017–2020) [ 5 ] next generation mma (2022–present) [ 1 ] rank blue belt in brazilian jiu-jitsu [ 6 ] wrestling ncaa division ii wrestling [ 7 ] years active 2009–present mixed martial arts record total 34 wins 20 by knockout 3 by submission 7 by decision 10 losses 13 by knockout 1 by submission 6 by decision 6 draws 1 other information spouse gina mazany ​ ( div. | 2023) ​ [ 8 ] mixed martial arts record from sherdog medal record collegiate wrestling representing labette cc njcaa championships 2007 rochester 125 lb timothy samuel elliott [ 9 ] (born december 24, 1986) is an american mixed martial artist who competes in the flyweight division of the ultimate fighting championship (ufc). | [ 1 ] when he was in fourth grade, elliott moved with his father to haysville, kansas , where he started wrestling .","[ 3 ] team grindhouse / glory mma and fitness (2011–2017, 2020–2022) [ 4 ] [ 3 ] [ 1 ] xtreme couture (2017–2020) [ 5 ] next generation mma (2022–present) [ 1 ] rank blue belt in brazilian jiu-jitsu [ 6 ] wrestling ncaa division ii wrestling [ 7 ] years active 2009–present mixed martial arts record total 34 wins 20 by knockout 3 by submission 7 by decision 10 losses 13 by knockout 1 by submission 6 by decision 6 draws 1 other information spouse gina mazany ​ ( div. | santos & loder 33 : tbd finale 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 brazil 16 the smashes 17 brazil 2 18 china nations brazil 3 19 latin america 20 21 brazil 4 latin america 2 22 23 latin america 3 24 25 26 27 28 29 30 31 32 retrieved from "" https://en.wikipedia.org/w/index.php?title=tim_elliott&oldid=1302886000 "" categories : 1986 births living people american male mixed martial artists mixed martial artists from kansas sportspeople from wichita, kansas people from sedgwick county, kansas central oklahoma bronchos wrestlers flyweight mixed martial artists mixed martial artists utilizing collegiate wrestling mixed martial artists utilizing brazilian jiu-jitsu american practitioners of brazilian jiu-jitsu ultimate fighting championship male fighters american sportspeople in doping cases doping cases in mixed martial arts hidden categories: cs1 dutch-language sources (nl) articles with brazilian portuguese-language sources (pt-br) articles with short description short description matches wikidata this page was last edited on 27 july 2025, at 23:43 (utc) .","[ 34 ] in his first fight, elliott faced 14th ranked 'team cejudo' fighter charlie alaniz. | [ 35 ] in the quarterfinals, elliott faced 6th ranked 'team cejudo' fighter and former caged contestant matt schnell . | "" 'tuf 24' gets other flyweight champs with coaches benavidez, cejudo; winner fights champ johnson"" .",https://en.wikipedia.org/wiki/Tim_Elliott
Joe Pyfer,,,No,No,No,"schalick high school and started competing on the school's wrestling team in tenth grade, where he was able to apply jiu jitsu and judo skills he learned as a child. | ""schalick high school wrestler joe pyfer having immediate impact"" , south jersey times , january 13, 2013. | ""schalick high school sophomore joe pyfer is in his first year of wrestling — ever....",,"schalick high school and started competing on the school's wrestling team in tenth grade, where he was able to apply jiu jitsu and judo skills he learned as a child. | pyfer started training with mixed martial arts, particularly jiu jitsu and judo, when he was 4 years old."" ^ sherdog.com. | schalick high school alumni people from pittsgrove township, new jersey sportspeople from vineland, new jersey sportspeople from salem county, new jersey mixed martial artists from new jersey american male mixed martial artists middleweight mixed martial artists ultimate fighting championship male fighters mixed martial artists utilizing boxing 21st-century american sportsmen hidden categories: articles with short description short description is different from wikidata use dmy dates from january 2024 this page was last edited on 23 july 2025, at 02:15 (utc) .",https://en.wikipedia.org/wiki/Joe_Pyfer
Sharabutdin Magomedov,,,Yes,No,No,,,"sharabutdin magomedov - wikipedia jump to content main menu main menu move to sidebar hide navigation main page contents current events random article about wikipedia contact us contribute help learn to edit community portal recent changes upload file special pages search search appearance donate create account log in personal tools donate create account log in pages for logged out editors learn more contributions talk contents move to sidebar hide (top) 1 early life 2 career toggle career subsection 2.1 early career 2.1.1 muay thai 2.1.2 lethwei 2.2 mixed martial arts career 2.2.1 ultimate fighting championship 3 shopping center attack 4 championships and accomplishments toggle championships and accomplishments subsection 4.1 mixed martial arts 4.2 muay thai 4.3 lethwei 5 mixed martial arts record 6 references 7 external links toggle the table of contents sharabutdin magomedov 10 languages العربية català español français italiano ქართული 日本語 polski português русский edit links article talk english read edit view history tools tools move to sidebar hide actions read edit view history general what links here related changes upload file permanent link page information cite this page get shortened url download qr code print/export download as pdf printable version in other projects wikimedia commons wikidata item appearance move to sidebar hide from wikipedia, the free encyclopedia russian mixed martial artist (born 1994) in this name that follows east slavic naming customs , the patronymic is magomedovich and the family name is magomedov . | sharabutdin magomedov magomedov in 2024 born sharabutdin magomedovich magomedov [ 1 ] ( 1994-05-16 ) may 16, 1994 (age 31) makhachkala , dagestan , russia native name шарабутдин магомедов other names shara bullet height 6 ft 2 in (1.88 m) weight 186 lb (84 kg; 13 st 4 lb) division welterweight (2017–2018) middleweight (2021–present) light heavyweight (2021) reach 73 in (185 cm) fighting out of makhachkala, dagestan, russia team gor mma rank international master of sport in lethwei [ 2 ] master of sport in muay thai [ 2 ] master of sport in kickboxing [ 2 ] master of sport candidate in combat sambo [ 2 ] years active 2017–present mixed martial arts record total 17 wins 16 by knockout 12 by decision 4 losses 1 by decision 1 other information mixed martial arts record from sherdog sharabutdin magomedovich magomedov ( russian : шарабутдин магомедович магомедов ; born 16 may 1994) is a russian professional mixed martial artist former muay thai and lethwei fighter. | [ 5 ] career [ edit ] early career [ edit ] muay thai [ edit ] magomedov started his combat sports career with boxing, where he had considerable success.",https://en.wikipedia.org/wiki/Sharabutdin_Magomedov
Rani Yahya,black belt,black belt,No,No,No,"rani yahya - wikipedia jump to content main menu main menu move to sidebar hide navigation main page contents current events random article about wikipedia contact us contribute help learn to edit community portal recent changes upload file special pages search search appearance donate create account log in personal tools donate create account log in pages for logged out editors learn more contributions talk contents move to sidebar hide (top) 1 background 2 mixed martial arts career toggle mixed martial arts career subsection 2.1 world extreme cagefighting 2.2 ultimate fighting championship 3 grappling credentials 4 championships and accomplishments toggle championships and accomplishments subsection 4.1 mixed martial arts 5 mixed martial arts record 6 see also 7 references 8 external links toggle the table of contents rani yahya 8 languages العربية español فارسی 日本語 português русский svenska українська edit links article talk english read edit view history tools tools move to sidebar hide actions read edit view history general what links here related changes upload file permanent link page information cite this page get shortened url download qr code print/export download as pdf printable version in other projects wikidata item appearance move to sidebar hide from wikipedia, the free encyclopedia brazilian martial artist rani yahya born rani ahmad yahya [ 1 ] ( 1984-09-12 ) september 12, 1984 (age 40) brasília , brazil height 5 ft 6 in (1.68 m) weight 135 lb (61 kg; 9.6 st) division bantamweight featherweight lightweight reach 68 in (173 cm) [ 2 ] fighting out of brasília , brazil team american top team [ 3 ] [ 4 ] constrictor team rank 5th degree black belt in brazilian jiu-jitsu [ 5 ] under athaíde junior [ 6 ] black belt in muay thai [ 7 ] years active 2002–present mixed martial arts record total 42 wins 28 by submission 21 by decision 7 losses 12 by knockout 4 by submission 1 by decision 7 draws 1 no contests 1 other information mixed martial arts record from sherdog rani yahya medal record representing brazil submission wrestling adcc world championships 2005 california, usa -66 kg 2007 new jersey, usa -66 kg brazilian jiu-jitsu world jiu-jitsu championship 2003 rio de janeiro -70kg (brown) 2002 rio de janeiro -64kg (purple) rani ahmad yahya [ 1 ] (born september 12, 1984) is a brazilian mixed martial artist and bjj practitioner. | he won the 66 kg division of the adcc submission wrestling world championship in april 2007. | [ 76 ] grappling credentials [ edit ] adcc world submission wrestling championships adcc 2007
–65 kg: 1st place adcc 2005
–65 kg: 2nd place adcc 2003
–65 kg: quarter finals.","rani yahya - wikipedia jump to content main menu main menu move to sidebar hide navigation main page contents current events random article about wikipedia contact us contribute help learn to edit community portal recent changes upload file special pages search search appearance donate create account log in personal tools donate create account log in pages for logged out editors learn more contributions talk contents move to sidebar hide (top) 1 background 2 mixed martial arts career toggle mixed martial arts career subsection 2.1 world extreme cagefighting 2.2 ultimate fighting championship 3 grappling credentials 4 championships and accomplishments toggle championships and accomplishments subsection 4.1 mixed martial arts 5 mixed martial arts record 6 see also 7 references 8 external links toggle the table of contents rani yahya 8 languages العربية español فارسی 日本語 português русский svenska українська edit links article talk english read edit view history tools tools move to sidebar hide actions read edit view history general what links here related changes upload file permanent link page information cite this page get shortened url download qr code print/export download as pdf printable version in other projects wikidata item appearance move to sidebar hide from wikipedia, the free encyclopedia brazilian martial artist rani yahya born rani ahmad yahya [ 1 ] ( 1984-09-12 ) september 12, 1984 (age 40) brasília , brazil height 5 ft 6 in (1.68 m) weight 135 lb (61 kg; 9.6 st) division bantamweight featherweight lightweight reach 68 in (173 cm) [ 2 ] fighting out of brasília , brazil team american top team [ 3 ] [ 4 ] constrictor team rank 5th degree black belt in brazilian jiu-jitsu [ 5 ] under athaíde junior [ 6 ] black belt in muay thai [ 7 ] years active 2002–present mixed martial arts record total 42 wins 28 by submission 21 by decision 7 losses 12 by knockout 4 by submission 1 by decision 7 draws 1 no contests 1 other information mixed martial arts record from sherdog rani yahya medal record representing brazil submission wrestling adcc world championships 2005 california, usa -66 kg 2007 new jersey, usa -66 kg brazilian jiu-jitsu world jiu-jitsu championship 2003 rio de janeiro -70kg (brown) 2002 rio de janeiro -64kg (purple) rani ahmad yahya [ 1 ] (born september 12, 1984) is a brazilian mixed martial artist and bjj practitioner. | [ 8 ] he trained judo, taekwondo and karate in his childhood, finding brazilian jiu-jitsu at the age of 11. | record of opponents: won: teemu launis (pts), mario delgado (pts), wagney fabiano (pts), marcio feitosa souza (pts), darell moodley (sub), bruno 'chavez' frazzato (rear naked choke), baret yoshida (pts), leo 'leozinho' vieira (rear naked choke), kohei yasumi (sub), jeff glover (pts) lost: leonardo viera (pts), leonardo viera (pts), rubens ""cobrinha"" charles (sub) ibjjjf/cbjj world championships 2019
black belt pena master: 1st place 2003
brown belt pena: 1st place 2002
purple belt pluma: 1st place 1999 pan-ams + world blue belt : 1st place championships and accomplishments [ edit ] mixed martial arts [ edit ] k-1 hero's 2006 k-1 hero's lightweight grand prix semifinalist tnt tnt: vale tudo 2 tournament winner world extreme cagefighting submission of the night (three times) vs.","rani yahya - wikipedia jump to content main menu main menu move to sidebar hide navigation main page contents current events random article about wikipedia contact us contribute help learn to edit community portal recent changes upload file special pages search search appearance donate create account log in personal tools donate create account log in pages for logged out editors learn more contributions talk contents move to sidebar hide (top) 1 background 2 mixed martial arts career toggle mixed martial arts career subsection 2.1 world extreme cagefighting 2.2 ultimate fighting championship 3 grappling credentials 4 championships and accomplishments toggle championships and accomplishments subsection 4.1 mixed martial arts 5 mixed martial arts record 6 see also 7 references 8 external links toggle the table of contents rani yahya 8 languages العربية español فارسی 日本語 português русский svenska українська edit links article talk english read edit view history tools tools move to sidebar hide actions read edit view history general what links here related changes upload file permanent link page information cite this page get shortened url download qr code print/export download as pdf printable version in other projects wikidata item appearance move to sidebar hide from wikipedia, the free encyclopedia brazilian martial artist rani yahya born rani ahmad yahya [ 1 ] ( 1984-09-12 ) september 12, 1984 (age 40) brasília , brazil height 5 ft 6 in (1.68 m) weight 135 lb (61 kg; 9.6 st) division bantamweight featherweight lightweight reach 68 in (173 cm) [ 2 ] fighting out of brasília , brazil team american top team [ 3 ] [ 4 ] constrictor team rank 5th degree black belt in brazilian jiu-jitsu [ 5 ] under athaíde junior [ 6 ] black belt in muay thai [ 7 ] years active 2002–present mixed martial arts record total 42 wins 28 by submission 21 by decision 7 losses 12 by knockout 4 by submission 1 by decision 7 draws 1 no contests 1 other information mixed martial arts record from sherdog rani yahya medal record representing brazil submission wrestling adcc world championships 2005 california, usa -66 kg 2007 new jersey, usa -66 kg brazilian jiu-jitsu world jiu-jitsu championship 2003 rio de janeiro -70kg (brown) 2002 rio de janeiro -64kg (purple) rani ahmad yahya [ 1 ] (born september 12, 1984) is a brazilian mixed martial artist and bjj practitioner. | [ 8 ] he trained judo, taekwondo and karate in his childhood, finding brazilian jiu-jitsu at the age of 11. | external links [ edit ] rani yahya at ufc professional mma record for rani yahya from sherdog retrieved from "" https://en.wikipedia.org/w/index.php?title=rani_yahya&oldid=1304594456 "" categories : 1984 births living people brazilian male mixed martial artists bantamweight mixed martial artists featherweight mixed martial artists lightweight mixed martial artists mixed martial artists utilizing muay thai mixed martial artists utilizing brazilian jiu-jitsu brazilian male muay thai practitioners brazilian practitioners of brazilian jiu-jitsu people awarded a black belt in brazilian jiu-jitsu martial artists from brasília brazilian people of syrian descent sportspeople of syrian descent brazilian expatriate sportspeople in the united states ultimate fighting championship male fighters 21st-century brazilian sportsmen hidden categories: cs1 portuguese-language sources (pt) cs1 errors: generic name articles with short description short description matches wikidata this page was last edited on 7 august 2025, at 00:45 (utc) .",https://en.wikipedia.org/wiki/Rani_Yahya
